Link,Price,Price per m2,Square,Floor,Floors,Rooms,Is Apartment?,Year,Time to metro,Okrug,District
https://www.cian.ru/sale/flat/301704784/,17900000,279688,64,15,17,2,False,2022,18,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301704779/,11990000,284798,42.1,2,9,1,False,2022,18,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301704776/,13600000,298901,45.5,1,11,2,False,2022,4,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301703973/,8000000,372093,21.5,3,17,0,True,2024,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301703583/,9300000,255495,36.4,1,9,2,False,2023,16,НАО (Новомосковский),ул. Усадебный Парк
https://www.cian.ru/sale/flat/301703295/,17500000,273438,64,2,17,2,False,2017,18,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301702979/,9100000,288889,31.5,11,14,1,False,2024,19,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301702090/,6100000,289100,21.1,15,20,0,True,2024,14,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301701437/,11750000,212094,55.4,8,12,2,False,2014,17,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301700873/,11800000,203448,58,1,27,3,False,2013,14,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301699296/,11900000,293827,40.5,8,12,1,False,2013,20,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301697502/,18300000,225369,81.2,1,19,3,False,2013,6,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301697021/,11800000,295000,40,11,17,1,False,2016,15,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301696630/,11300000,286802,39.4,24,25,1,False,2016,7,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301688875/,9560000,239000,40,3,4,1,False,2015,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301687968/,14000000,255941,54.7,13,17,2,False,2011,8,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301687140/,7846000,186810,42,7,7,2,False,2022,8,НАО (Новомосковский),Марушкинское поселение
https://www.cian.ru/sale/flat/301684273/,10200000,307229,33.2,8,10,1,False,2024,12,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301682790/,23000000,297542,77.3,8,12,3,False,2019,7,НАО (Новомосковский),Сосенское поселение
